Position,,,,Title,,,,Rating,Runtime (mins),Year,Genre,Votes,Release,Directors
137,,,,The Expendables,,,,6.5,103,2010,Thriller,317030,2010-08-03,Sylvester Stallone
138,,,,Zui quan,,,,7.5,111,1978,Thriller,34389,1978-10-05,Woo-Ping Yuen
139,,,,Bloodsport,,,,6.8,92,1988,Thriller,72749,1988-02-26,Newt Arnold
140,,,,Air Force One,,,,6.5,124,1997,Thriller,173436,1997-07-21,Wolfgang Petersen
141,,,,Undisputed III: Redemption,,,,7.4,96,2010,Thriller,37485,2010-04-17,Isaac Florentine
142,,,,From Dusk Till Dawn,,,,7.2,108,1996,Thriller,275684,1996-01-19,Robert Rodriguez
143,,,,Conan the Barbarian,,,,6.9,129,1982,Thriller,132921,1982-04-02,John Milius
144,,,,Da bing xiao jiang,,,,6.9,96,2010,War,14206,2010-02-11,Sheng Ding
145,,,,Lethal Weapon 2,,,,7.2,114,1989,Thriller,155765,1989-07-05,Richard Donner
146,,,,Collateral,,,,7.5,120,2004,Thriller,346218,2004-08-02,Michael Mann
147,,,,Crank,,,,6.9,88,2006,Thriller,228179,2006-08-31,"Brian Taylor, Mark Neveldine"
148,,,,Underworld,,,,7,121,2003,Thriller,245889,2003-09-08,Len Wiseman
149,,,,Spider-Man 2,,,,7.3,127,2004,Superhero,523114,2004-06-25,Sam Raimi
150,,,,Dou foh sin,,,,6.8,88,2007,Thriller,12065,2007-07-26,Wilson Yip
151,,,,Heartbreak Ridge,,,,6.9,130,1986,War,37916,1986-12-05,Clint Eastwood
152,,,,Men in Black,,,,7.3,98,1997,Sci-Fi,498491,1997-06-25,Barry Sonnenfeld
153,,,,Bad Boys,,,,6.9,119,1995,Thriller,228681,1995-04-06,Michael Bay
154,,,,Collateral Damage,,,,5.5,108,2002,Thriller,70298,2002-02-04,Andrew Davis
155,,,,Bullitt,,,,7.4,114,1968,Thriller,57855,1968-10-17,Peter Yates
156,,,,Mission: Impossible,,,,7.1,110,1996,Spy,372689,1996-05-20,Brian De Palma
157,,,,Shurayukihime,,,,7.7,97,1973,Thriller,11399,1973-12-01,Toshiya Fujita
158,,,,The Town,,,,7.5,125,2010,Thriller,336264,2010-09-08,Ben Affleck
159,,,,Ronin,,,,7.3,122,1998,Thriller,166560,1998-09-12,John Frankenheimer
160,,,,Rush Hour,,,,7,98,1998,Thriller,230089,1998-09-18,Brett Ratner
161,,,,Point Break,,,,7.3,122,1991,Thriller,148387,1991-07-10,Kathryn Bigelow
162,,,,Terminator Salvation,,,,6.5,115,2009,Sci-Fi,334790,2009-05-14,McG
163,,,,Walking Tall,,,,6.3,86,2004,Thriller,68479,2004-03-29,Kevin Bray
164,,,,Highlander,,,,7.1,116,1986,Thriller,117096,1986-01-31,Russell Mulcahy
165,,,,Tai gik Cheung Sam Fung,,,,7.2,96,1993,Thriller,9151,1993-11-18,Woo-Ping Yuen
166,,,,Demolition Man,,,,6.7,115,1993,Sci-Fi,151831,1993-10-07,Marco Brambilla
167,,,,Death Wish,,,,7,93,1974,Thriller,33778,1974-07-24,Michael Winner
168,,,,Lethal Weapon 4,,,,6.6,127,1998,Thriller,148689,1998-07-07,Richard Donner
169,,,,The Chronicles of Riddick,,,,6.7,119,2004,Sci-Fi,209594,2004-06-03,David Twohy
170,,,,Escape from Alcatraz,,,,7.6,112,1979,Thriller,111601,1979-06-22,Don Siegel
171,,,,The Crow,,,,7.6,102,1994,Thriller,160872,1994-05-10,Alex Proyas
172,,,,Army of Darkness,,,,7.5,81,1992,Thriller,157326,1992-10-09,Sam Raimi
173,,,,Deja Vu,,,,7,126,2006,Sci-Fi,284753,2006-11-20,Tony Scott
174,,,,Su Qi-er,,,,6.4,115,2010,Thriller,8272,2010-02-09,Woo-Ping Yuen
175,,,,Shoot 'Em Up,,,,6.7,86,2007,Thriller,141985,2007-07-26,Michael Davis
176,,,,Top Gun,,,,6.9,110,1986,Thriller,277492,1986-05-12,Tony Scott
177,,,,Hot Fuzz,,,,7.8,121,2007,Thriller,444833,2007-02-13,Edgar Wright
178,,,,Rolling Thunder,,,,7,95,1977,Thriller,7037,1977-10-14,John Flynn
179,,,,Blade,,,,7.1,120,1998,Sci-Fi,235912,1998-08-19,Stephen Norrington
180,,,,Azumi,,,,6.8,128,2003,Thriller,14087,2003-05-10,Ryûhei Kitamura
181,,,,Fast Five,,,,7.3,130,2011,Thriller,341518,2011-04-15,Justin Lin
182,,,,Death Proof,,,,7,113,2007,Thriller,258615,2007-05-22,Quentin Tarantino
183,,,,Universal Soldier,,,,6,102,1992,Sci-Fi,80037,1992-07-10,Roland Emmerich
184,,,,3:10 to Yuma,,,,7.7,122,2007,Thriller,279013,2007-08-21,James Mangold
185,,,,Faster,,,,6.4,98,2010,Thriller,96872,2010-11-24,George Tillman Jr.
186,,,,The Green Hornet,,,,5.8,119,2011,Superhero,151768,2011-01-12,Michel Gondry
187,,,,Ninja Assassin,,,,6.3,99,2009,Thriller,66444,2009-09-29,James McTeigue
188,,,,Predators,,,,6.4,107,2010,Sci-Fi,206122,2010-07-07,Nimród Antal
189,,,,The Mummy,,,,7,124,1999,Thriller,378069,1999-04-16,Stephen Sommers
190,,,,Pineapple Express,,,,7,111,2008,Spy,305657,2008-07-31,David Gordon Green
191,,,,Shooter,,,,7.2,124,2007,Thriller,301017,2007-03-08,Antoine Fuqua
192,,,,Assassination Games,,,,6.1,101,2011,Thriller,16190,2011-07-29,Ernie Barbarash
193,,,,The Jackal,,,,6.4,124,1997,Thriller,103174,1997-11-14,Michael Caton-Jones
194,,,,Last Action Hero,,,,6.4,130,1993,Thriller,131359,1993-06-13,John McTiernan
195,,,,Undisputed II: Last Man Standing,,,,7.1,98,2006,Thriller,32526,2006-04-11,Isaac Florentine
196,,,,The Tournament,,,,6.1,95,2009,Thriller,33521,2009-05-31,Scott Mann
197,,,,The Fast and the Furious,,,,6.8,106,2001,Thriller,333893,2001-06-18,Rob Cohen
198,,,,Armageddon,,,,6.7,151,1998,Sci-Fi,384146,1998-06-30,Michael Bay
199,,,,The Mummy Returns,,,,6.3,130,2001,Thriller,292277,2001-04-29,Stephen Sommers
200,,,,The Transporter,,,,6.8,92,2002,Thriller,277630,2002-10-02,"Corey Yuen, Louis Leterrier"
201,,,,Wu Lang ba gua gun,,,,7.4,98,1984,Thriller,2418,1984-02-17,Chia-Liang Liu
202,,,,Machete,,,,6.6,105,2010,Thriller,186602,2010-09-01,"Ethan Maniquis, Robert Rodriguez"
203,,,,Tomorrow Never Dies,,,,6.5,119,1997,Thriller,175003,1997-12-09,Roger Spottiswoode
204,,,,Saat po long,,,,7,93,2005,Thriller,10954,2005-09-16,Wilson Yip
205,,,,Tango & Cash,,,,6.4,104,1989,Thriller,92477,1989-12-22,"Andrey Konchalovskiy, Albert Magnoli"
206,,,,Zhong hua zhan shi,,,,6.4,91,1987,Thriller,692,1987-04-16,David Chung
207,,,,Coogan's Bluff,,,,6.5,93,1968,Thriller,14888,1968-03-02,Don Siegel
208,,,,Hung fan kui,,,,6.7,104,1995,Thriller,37349,1995-01-21,Stanley Tong
209,,,,Punisher: War Zone,,,,5.9,103,2008,Thriller,58895,2008-12-04,Lexi Alexander
210,,,,Mr. & Mrs. Smith,,,,6.5,120,2005,Thriller,434999,2005-06-07,Doug Liman
211,,,,Death Sentence,,,,6.8,105,2007,Thriller,67396,2007-08-01,James Wan
212,,,,Smokin' Aces,,,,6.7,109,2006,Thriller,134504,2006-12-09,Joe Carnahan
213,,,,Wanted,,,,6.7,110,2008,Thriller,350687,2008-06-12,Timur Bekmambetov
214,,,,Soldier,,,,6,99,1998,Sci-Fi,50346,1998-10-23,Paul W.S. Anderson
215,,,,The 6th Day,,,,5.9,123,2000,Sci-Fi,113585,2000-10-28,Roger Spottiswoode
216,,,,Cliffhanger,,,,6.4,113,1993,Thriller,115561,1993-05-20,Renny Harlin
217,,,,Blood and Bone,,,,6.7,93,2009,Thriller,30364,2009-09-15,Ben Ramsey
218,,,,Eraser,,,,6.1,115,1996,Thriller,100404,1996-06-11,Chuck Russell
219,,,,Xi yang tian shi,,,,6.7,111,2002,Sci-Fi,7108,2002-08-22,Corey Yuen
220,,,,Clash of the Titans,,,,5.8,106,2010,Thriller,263867,2010-03-26,Louis Leterrier
221,,,,xXx,,,,5.9,124,2002,Thriller,169961,2002-08-09,Rob Cohen
222,,,,Shaft,,,,5.9,99,2000,Thriller,71555,2000-06-16,John Singleton
223,,,,Judge Dredd,,,,5.6,96,1995,Sci-Fi,107032,1995-06-30,Danny Cannon
224,,,,Rapid Fire,,,,6.3,95,1992,Thriller,7952,1992-08-21,Dwight H. Little
225,,,,Daylight,,,,5.9,114,1996,Thriller,63728,1996-12-05,Rob Cohen
226,,,,The Mechanik,,,,5.6,94,2005,Thriller,3528,2005-10-03,Dolph Lundgren
227,,,,Crying Freeman,,,,6.5,102,1995,Thriller,11300,1995-09-14,Christophe Gans
228,,,,Assassins,,,,6.3,132,1995,Thriller,75204,1995-10-06,Richard Donner
229,,,,The Warrior's Way,,,,6.3,100,2010,Thriller,24795,2010-12-01,Sngmoo Lee
230,,,,Long zai jiang hu,,,,6.1,87,1986,Action,1109,1986-12-20,Ronny Yu
231,,,,Kickboxer,,,,6.5,97,1989,Thriller,47504,1989-04-20,"David Worth, Mark DiSalle"
232,,,,Drive Angry,,,,5.4,104,2011,Thriller,92327,2011-02-24,Patrick Lussier
233,,,,The Mexican,,,,6.1,123,2001,Thriller,100305,2001-03-02,Gore Verbinski
234,,,,The Hunted,,,,6.1,94,2003,Thriller,42338,2003-03-11,William Friedkin
235,,,,The Replacement Killers,,,,6.2,87,1998,Thriller,26264,1998-01-12,Antoine Fuqua
236,,,,Cobra,,,,5.8,87,1986,Thriller,64507,1986-05-23,George P. Cosmatos
237,,,,Sucker Punch,,,,6,110,2011,Thriller,223765,2011-03-21,Zack Snyder
238,,,,Command Performance,,,,5.6,93,2009,Thriller,3068,2009-07-18,Dolph Lundgren
239,,,,Above the Law,,,,6,99,1988,Thriller,27484,1988-04-08,Andrew Davis
240,,,,The One,,,,5.9,87,2001,Sci-Fi,86975,2001-11-02,James Wong
241,,,,The Condemned,,,,6,113,2007,Thriller,49393,2007-03-30,Scott Wiper
242,,,,Showdown in Little Tokyo,,,,6.1,79,1991,Thriller,15733,1991-08-23,Mark L. Lester
243,,,,Blue Streak,,,,6.3,93,1999,Thriller,71953,1999-09-17,Les Mayfield
244,,,,Hard Target,,,,6.2,97,1993,Thriller,42499,1993-08-20,John Woo
245,,,,Raw Deal,,,,5.6,106,1986,Thriller,29271,1986-06-06,John Irvin
246,,,,Joshua Tree,,,,5.7,106,1993,Spy,5110,1993-03-27,Vic Armstrong
247,,,,Under Siege,,,,6.5,103,1992,Thriller,73538,1992-10-09,Andrew Davis
248,,,,Timecop,,,,5.9,99,1994,Sci-Fi,53588,1994-09-16,Peter Hyams
249,,,,The Delta Force,,,,5.6,125,1986,War,18023,1986-02-14,Menahem Golan
250,,,,Lionheart,,,,6.2,108,1990,Thriller,31355,1990-08-01,Sheldon Lettich
